,title,price,izmer,location,seller,seller_link,date,link
0,Известь негашеная ГОСТ,4800.00,за Тонну,"Р-ка Башкортостан,  Уфа", Урал Робертович Гиниятуллин,https://agroru.com/pages/84613/,12.12.2020,https://agroru.com/doska/izvest-negashenaya-gost-9179-77-39460.htm
1,Подкормка озимых пневмоходами,250.00,за Гектара,"Ростовская область,  Миллерово","Темпагро, ООО",https://agroru.com/pages/316562/,12.12.2020,https://agroru.com/doska/podkormka-ozimyh-pnevmohodami-55039.htm
2,Удобрение акварин газонный 1 кг.,300.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-akvarin-gazonnyj-1-kg-19051.htm
3,Удобрение весна - лето 5 кг,370.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-amp-quot-vesna-leto-amp-quot-5-kg-67437.htm
4,"Удобрение экспресс - ремонт 2,5 кг",240.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-amp-amp-quot-ekspress-remont-amp-amp-quot-2-5-kg-73263.htm
5,Удобрение Старт 5 кг,360.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-amp-quot-start-amp-quot-5-kg-34972.htm
6,Удобрение ому осеннее 5 кг,430.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-omu-osennee-5-kg-30541.htm
7,Удобрение ому газонное 10 кг,850.00,за Штуку,"Москва,  Москва","МосАгроГрупп, ООО",https://agroru.com/pages/135197/,12.12.2020,https://agroru.com/doska/udobrenie-omu-gazonnoe-10-kg-26489.htm
8,Земля плодородная в мешках.,130.00,за Упаковку,"Ленинградская область,  Всеволжск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/zemlya-plodorodnaya-v-meshkah-19733.htm
9,Грунт растительный,500.00,за Метр кв.,"Ленинградская область,  Всеволожск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/grunt-rastitelnyj-seyannyj-s-dostavkoj-88465.htm
10,Навоз коровий,150.00,за Штуку,"Ленинградская область,  Всеволжск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/navoz-korovij-85604.htm
11,торфосмесь,500.00,за Метр кв.,"Ленинградская область,  Всеволожск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/torf-i-torfosmes-s-dostavkoj-69330.htm
12,Навоз конский,100.00,за Упаковку,"Ленинградская область,  Всеволжск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/navoz-konskij-25719.htm
13,Торфогрунт в мешках и навалом,800.00,за Метр кв.,"Ленинградская область,  Всеволожск", Анатолий Алексеевич Рябов,https://agroru.com/pages/285301/,12.12.2020,https://agroru.com/doska/torfogrunt-v-meshkah-i-navalom-49003.htm
14,"Удобрения,Перегной,Навоз.",100.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/udobreniya-peregnoj-navoz-88129.htm
15,Перегной в мешках 60 литров и россыпью.,100.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/peregnoj-v-meshkah-60-litrov-i-rossypju-94479.htm
16,"Земля садовая, Почвогрунт, Торф, Навоз, Гумус, Грунт для сада в мешках,Чернозем.",100.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/zemlya-sadovaya-pochvogrunt-torf-navoz-gumus-grunt-dlya-sada-21920.htm
17,Опилки в мешках 60 литров.,80.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/opilki-s-dostavkoj-opilki-v-meshkah-60-litrov-35193.htm
18,Навоз коровий,150.00,за Метр кв.,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/navoz-korovij-s-dostavkoj-3278.htm
19,"Навоз конский, Навоз коровий в мешках и россыпью.",100.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/navoz-konskij-navoz-korovij-v-meshkah-i-rossypju-75362.htm
20,Земля садовая в мешках 50 литров.,100.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/zemlya-sadovaya-v-meshkah-50-litrov-59225.htm
21,"Торф нейтральный, верховой в мешках 60 литров и россыпью.",600.00,за Метр кв.,"Санкт-Петербург,  Санкт-Петербург", Кирилл  Андреевич Котов,https://agroru.com/pages/216118/,12.12.2020,https://agroru.com/doska/torf-nejtralnyj-verhovoj-v-meshkah-60-litrov-i-rossypju-69753.htm
22,Торф,300.00,за Метр кв.,"Санкт-Петербург,  Санкт-Петербург", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/torf-nejtralnyj-torf-verhovoj-torf-nizinnyj-7433.htm
23,Земля плодородная (сеянная).,450.00,за Метр кв.,"Санкт-Петербург,  Санкт-Петербург", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/zemlya-plodorodnaya-seyannaya-82124.htm
24,Посадочный грунт в мешках 50 литров.,100.00,за Упаковку,"Ленинградская область,  Всеволожск", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/posadochnyj-grunt-v-meshkah-50-litrov-60249.htm
25,Почвогрунт приготовленный (мешки и навалом).,150.00,за Штуку,"Ленинградская область,  Всеволожск", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/pochovgrunt-prigotovlennyj-meshki-i-navalom-72512.htm
26,Торф в мешках и россыпью.,490.00,за Метр кв.,"Ленинградская область,  Всеволожск", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/torf-v-meshkah-i-rossypju-81969.htm
27,Минеральные удобрения,None,None,"Москва,  Москва","Торговый дом Агроимпульс, ООО",https://agroru.com/pages/164083/,12.12.2020,https://agroru.com/doska/mineralnye-udobreniya-72211.htm
28,Вермикулит вспученный,None,None,"Украина,  Харьков", Артем Евгеньевич Баев,https://agroru.com/pages/152372/,12.12.2020,https://agroru.com/doska/vermikulit-vspuchennyj-59457.htm
29,Восстановитель Почвы ЭридГроу ПГВП-К,180.00,за Килограмм,"Ростовская область,  Гуково", Дмитрий,https://agroru.com/pages/67918/,12.12.2020,https://agroru.com/doska/vosstanovitel-pochvy-eridgrou-pgvp-k-28099.htm
30,Активизатор почвы ЭридГроу ЖГАП-К,800.00,за Литр,"Ростовская область,  Гуково", Дмитрий,https://agroru.com/pages/67918/,12.12.2020,https://agroru.com/doska/aktivizator-pochvy-eridgrou-zhgap-k-94414.htm
31,Карбамид на экспорт.,None,None,"Украина,  Днепропетровск", Григорий   Алексеевич,https://agroru.com/pages/159554/,12.12.2020,https://agroru.com/doska/karbamid-na-eksport-55556.htm
32,ГЛИЦЕРОЛ МАРКИ ЦИНК,240.00,за Литр,"Воронежская область,  Воронеж", Денис Евгеньевич,https://agroru.com/pages/238323/,12.12.2020,https://agroru.com/doska/glitserol-marki-tsink-43988.htm
33,ГЛИЦЕРОЛ МАРКИ КОМПЛЕКС,180.00,за Литр,"Воронежская область,  Воронеж", Денис Евгеньевич,https://agroru.com/pages/238323/,12.12.2020,https://agroru.com/doska/glitserol-marki-kompleks-57142.htm
34,ГЛИЦЕРОЛ МАРКИ КОМПЛЕКС АЗОТ,200.00,за Литр,"Воронежская область,  Воронеж", Денис Евгеньевич,https://agroru.com/pages/238323/,12.12.2020,https://agroru.com/doska/glitserol-marki-kompleks-azot-39621.htm
35,ГЛИЦЕРОЛ МАРКИ КАЛИЙ,180.00,за Литр,"Воронежская область,  Воронеж", Денис Евгеньевич,https://agroru.com/pages/238323/,12.12.2020,https://agroru.com/doska/glitserol-marki-kalij-18222.htm
36,ГЛИЦЕРОЛ МАРКИ БОР,320.00,за Литр,"Воронежская область,  Воронеж", Денис Евгеньевич,https://agroru.com/pages/238323/,12.12.2020,https://agroru.com/doska/glitserol-marki-bor-5050.htm
37,МикроФид Цинк - микроудобрение необходимое для кукурузы,280.00,за Литр,"Самарская область,  Самара", Вадим Александрович,https://agroru.com/pages/304958/,12.12.2020,https://agroru.com/doska/mikrofid-tsink-mikroudobrenie-neobhodimoe-dlya-kukuruzy-81961.htm
38,МикроФид Бор - микроудобрение необходимое для подсолнечника,320.00,за Литр,"Самарская область,  Самара", Вадим Александрович,https://agroru.com/pages/304958/,12.12.2020,https://agroru.com/doska/mikrofid-bor-mikroudobrenie-neobhodimoe-dlya-podsolnechnika-14436.htm
39,Коровий навоз,500.00,за Метр кв.,"Ленинградская область,  Всеволожск", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/korovij-navoz-s-dostavkoj-51351.htm
40,Навоз в мешках и россыпью.,150.00,за Штуку,"Ленинградская область,  Всеволожск", Денис Александрович Сатановский,https://agroru.com/pages/246402/,12.12.2020,https://agroru.com/doska/navoz-v-meshkah-i-rossypju-46689.htm
